"2","*A Pompadour<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"035-2950709",,"Kaptensgatan 6",NULL,"Halmstad",,"30245","SE","56.6701785","12.8617041",,,"1426522513","1489505305","3",NULL,,,,,,,
"3","Salong Hårtussen",,,"0590-41300",,"Kungsgatan 11",NULL,"Filipstad",,"68230","SE","59.7128414","14.1660959",,,"1426522747","1426522747","3",NULL,,,,,,,
"4","Salong Panczel",,,"018-103610",,"Kungsängsgatan 9",NULL,"Uppsala",,"75322","SE","59.8579295","17.6401339",,,"1426582756","1426582756","3",NULL,,,,,,,
"5","Amandas Salong",,,,,"Mats Knuts Väg 111",NULL,"Borlänge",,"78454","SE","60.479269","15.386333",,,"1426583273","1426583273","3",NULL,,,,,,,
"6","Anjas Hår Studio",,,"0960-21333",,"Storgatan 16",NULL,"Arvidsjaur",,"93332","SE","65.5929269","19.1745008",,,"1426584551","1426584551","3",NULL,,,,,,,
"7","Anna Klippare",,,"0911-10107",,"Storgatan 69",NULL,"Piteå",,"94132","SE","65.3182204","21.4760553",,,"1426584722","1426584722","3",NULL,,,,,,,
"8","Salong Helene, Anna Lindqvist Frisör",,,,,"Sörbergevägen 17",NULL,"Sörberge",,"86030","SE","62.5094447","17.371543",,,"1426584960","1426584960","3",NULL,,,,,,,
"9","AM Hår & Design ",,,"0303-10619",,"Västra Gatan 59",NULL,"Kungälv",,"44231","SE","57.8692843","11.983573",,,"1426585101","1426588737","3",NULL,,,,,,,
"10","Aqua",,,"054-151501",,"Drottninggatan 7",NULL,"Karlstad",,"65224","SE","59.3791011","13.5036931",,,"1426585226","1426585226","3",NULL,,,,,,,
"11","Aquaroom",,,"023-28300",,"Bergshauptmansgatan 56",NULL,"Falun",,"79161","SE","60.6001977","15.6182037",,,"1426585902","1426585902","3",NULL,,,,,,,
"12","Arctic Style",,,,,"Marknadsgatan 1",NULL,"75460",,"Uppsala","SE","59.8772556","17.6741159",,,"1426586630","1426586630","3",NULL,,,,,,,
"13","Arnalids",,,,,"Birkagatan 27",NULL,"Stockholm",,"11339","SE","59.3410999","18.0352129",,,"1426586719","1426586719","3",NULL,,,,,,,
